//X Y Z R G B
94448
0.30048433 0.12426044 2.50443387 127 127 127
0.30524275 0.12435816 2.50640345 126 126 126
0.31000885 0.12445611 2.50837755 126 126 126
0.31478226 0.12455413 2.51035309 126 126 126
0.31956610 0.12465345 2.51235485 126 126 126
0.32435814 0.12475313 2.51436400 127 127 127
0.32915783 0.12485298 2.51637626 126 127 126
0.33396524 0.12495298 2.51839185 126 127 126
0.33878034 0.12505315 2.52041078 127 128 127
0.34360319 0.12515348 2.52243280 140 140 140
0.34843373 0.12525396 2.52445793 140 140 140
0.35327208 0.12535462 2.52648664 140 140 140
0.35811841 0.12545550 2.52851987 140 141 140
0.36297235 0.12555647 2.53055501 140 141 140
0.36783406 0.12565760 2.53259325 140 141 140
0.37270364 0.12575890 2.53463483 140 141 140
0.37758106 0.12586036 2.53667974 141 142 141
0.38246638 0.12596199 2.53872800 141 142 141
0.38735959 0.12606378 2.54077959 154 154 154
0.39226073 0.12616573 2.54283452 154 154 154
0.39717004 0.12626792 2.54489422 154 154 154
0.40208700 0.12637021 2.54695559 154 155 154
0.40701202 0.12647265 2.54902053 154 155 154
0.41194499 0.12657528 2.55108881 154 155 154
0.45733052 0.12639788 2.54751348 155 155 155
0.46151310 0.12628467 2.54523182 155 155 155
0.46568817 0.12617168 2.54295421 155 155 155
0.46985602 0.12605894 2.54068208 154 155 154
0.47401619 0.12594633 2.53841257 155 155 155
0.47816893 0.12583393 2.53614712 143 143 143
0.48231453 0.12572180 2.53388715 143 143 143
0.48645243 0.12560979 2.53162956 143 143 143
0.49058154 0.12549761 2.52936864 142 142 142
0.49469998 0.12538479 2.52709484 142 142 142
0.49881101 0.12527217 2.52482510 142 142 142
0.50291437 0.12515968 2.52255797 142 143 142
